time, pos, colour
1258,2.959018593624856,-5
1259,2.91209782342978,-5
1260,2.840701234536362,-5
1261,2.7694206481573986,-5
1262,2.6913690299802657,-5
1263,2.648441638662767,-5
1264,2.5977792166959155,-5
1265,2.5133576791948564,-5
1266,2.519103168826418,-5
1267,2.386216860920466,-5
1268,2.3633137062102736,-5
1269,2.309757801668559,-5
1270,2.220714274872445,-5
1271,2.136825823144059,-5
1272,2.0721874984665463,-5
1273,2.0329437261895373,-5
1274,2.012807515268179,-5
1275,1.8739423775330746,-5
1276,1.8414263485698714,-5
1277,1.789775360449332,-5
1278,1.7293396023626517,-5
1279,1.6380979644366909,-5
1280,1.5745191559156786,-5
1281,1.4919714296792326,-5
1282,1.4583386419788258,-5
1283,1.4114437906007304,-5
1284,1.2664403852092485,-5
1285,1.1922958867982683,-5
1286,1.1895468582054318,-5
1287,1.1449057707546217,-5
1288,1.1319088507253754,-5
1289,0.9572763165639044,-5
1290,0.8435399305924995,-5
1291,0.8279852058034275,-5
1292,0.8034205609206515,-5
1293,0.7323014792627245,-5
1294,0.6366396605496834,-5
1295,0.568633709331355,-5
1296,0.5917190021692227,-5
1297,0.5497108722253481,-5
1298,0.5164281871572493,-5
1299,0.4434402205908429,-5
1300,0.36036720637247077,-5
1301,0.3083833261373656,1
1302,0.2870330358959759,1
1303,0.26444587163226946,1
1304,0.23817214442333304,1
1305,0.20768441752208042,1
1306,0.2486401941000633,1
1307,0.29341250152098763,1
1308,0.29639190684493805,1
1309,0.29775264891809883,1
1310,0.281053008071842,1
1311,0.341113891500606,1
1312,0.3484372881879316,1
1313,0.3139685705235423,1
1314,0.31299071667179285,1
1315,0.3227552902759285,1
1316,0.367004131259269,1
1317,0.3449114382461454,1
1318,0.338129869290788,1
1319,0.2899433005077391,1
1320,0.28971931277288643,1
1321,0.2971421555481473,1
1322,0.24482564993705636,1
1323,0.2789485633263074,1
1324,0.24599550256355623,1
1325,0.34122869497465436,1
1326,0.40188931412793094,1
1327,0.45164062508747627,1
1328,0.4626843971625955,1
1329,0.5490020312664864,1
1330,0.546865401169381,1
1331,0.5958253583662771,1
1332,0.6122714505932068,1
1333,0.5544077166655533,1
1334,0.5732351320296233,1
1335,0.5821965827731309,1
1336,0.6065286540823662,1
1337,0.692848231564049,1
1338,0.7344056479593346,1
1339,0.769934537700949,1
1340,0.8121771790291532,1
1341,0.7917964219148834,1
1342,0.7940880257140026,1
1343,0.844968296346355,1
1344,0.83721299993931,1
1345,0.8675046436591181,1
1346,0.9006290036890632,1
1347,0.8896902398737033,1
1348,0.9269018021815514,1
1349,0.9256792516507578,1
1350,0.9384826977485548,1
1351,0.93598455800914,1
1352,0.9368889089095067,1
1353,0.8889723836803282,1
1354,0.9625118209603981,1
1355,0.9997105293629132,1
1356,0.9691215185488626,1
1357,0.9466397436905488,1
1358,0.9066509072733281,1
1359,0.9757651671339374,1
1360,0.9947851059031719,1
1361,1.0152865185530577,1
1362,0.9792695273262418,1
1363,0.9213764370121954,1
1364,0.8976592935873964,1
1365,1.001431088543207,1
1366,1.060071863395075,1
1367,1.0680981482615586,1
1368,1.0448633354821621,1
1369,1.081895576117258,1
1370,1.0916305448313324,1
1371,1.0988749688870807,1
1372,1.1142162643752087,1
1373,1.1149323897138843,1
1374,1.0492751586496314,1
1375,1.0712013186855778,1
1376,1.118000020487999,1
1377,1.1259346942568362,1
1378,1.1843330553883489,1
1379,1.2790616327028097,1
1380,1.237477938639716,1
1381,1.262540623913552,1
1382,1.2117266234575474,1
1383,1.2927717297407078,1
1384,1.2553869561912092,1
1385,1.2140249099687783,1
1386,1.132324002952327,1
1387,1.1167705458445039,1
1388,1.0808666774169127,1
1389,1.173974002000368,1
1390,1.1476124388704747,1
1391,1.1608147938344544,1
1392,1.233534442414668,1
1393,1.2197665668988766,1
1394,1.1303335700056678,1
1395,1.162809337765642,1
1396,1.2489054673985354,1
1397,1.3473128587471048,1
1398,1.3575967927590833,1
1399,1.442623440915586,1
1400,1.4754999780232647,1
1401,1.4734227755254412,1
1402,1.5094282483974821,1
1403,1.5723641702462245,1
1404,1.5515782429035165,1
1405,1.5558106504281257,1
1406,1.6053123521554304,1
1407,1.709141762408796,1
1408,1.6865408427228095,1
1409,1.6806617287797776,1
1410,1.623658752925338,1
1411,1.6505816723754019,1
1412,1.6825098366421054,1
1413,1.6925352992850038,1
1414,1.7442782067325464,1
1415,1.8660274696922077,1
1416,1.893107644713394,1
1417,1.9727927080387648,1
1418,1.9531306056059765,1
1419,1.9999213831869456,1
1420,1.9585907250051915,1
1421,1.958207024057362,1
1422,1.9476617606246365,1
1423,2.0363918802118084,1
1424,2.046499308005601,1
1425,2.043941062869964,1
1426,2.1269294544417328,1
1427,2.120581102392834,1
1428,2.07485814855384,1
1429,2.080000050982312,1
1430,2.0959893555167315,1
1431,2.1723027228610414,1
1432,2.1477928715035777,1
1433,2.187168522013094,1
1434,2.162126274275221,1
1435,2.145540894987936,1
1436,2.2126155270133534,1
1437,2.182944851648502,1
1438,2.2847834104791835,1
1439,2.2700953956102237,1
1440,2.260907966736792,1
1441,2.282889755424707,1
1442,2.2643980386082103,1
1443,2.289327120813877,1
1444,2.2789438737381986,1
1445,2.218901112304303,1
1446,2.243248894272935,1
1447,2.2558152854429743,1
1448,2.2385050608393837,1
1449,2.351738093706725,1
1450,2.331133537768226,1
1451,2.323120332072386,1
1452,2.2876208614323303,1
1453,2.304078815172029,1
1454,2.3337933332486065,1
1455,2.3440539536395293,1
1456,2.382208322819028,1
1457,2.4091809546802105,1
1458,2.4315034094251717,1
1459,2.392572260501058,1
1460,2.4281247349588244,1
1461,2.4576923279536866,1
1462,2.4673009051235706,1
1463,2.5146984440955915,1
1464,2.490359196946622,1
1465,2.466578121088257,1
1466,2.4966739956390605,1
1467,2.500698204226438,1
1468,2.468950764500767,1
1469,2.5213955143595,1
1470,2.6210799067336925,1
1471,2.58914486333874,1
1472,2.619404587682624,1
1473,2.6582416778647597,1
1474,2.7216622810319424,1
1475,2.7655399398125087,1
